,0,2,4,6,8,10,12,14
1.6,-22.9951661,-32.7781359,-31.2989257,-29.2537305,-26.65548,-24.3594386,-23.0810583,-30.3808461
1.59,-29.0801908,-33.8809967,-32.1028777,-30.5975817,-28.7675703,-27.218153,-25.7876574,-24.4727008
1.58,-32.0338088,-33.5081316,-31.7153313,-30.0063413,-28.4389476,-26.9157758,-25.4905772,-24.1349962
1.57,-34.0045988,-33.1365913,-31.340482,-29.6102248,-27.9835024,-26.4239998,-24.9442247,-23.6117165
1.56,-34.6511331,-32.7939374,-31.1159505,-29.2468549,-27.5642848,-25.9980169,-24.5192124,-23.1462482
1.55,-34.3223471,-32.4770005,-30.7130452,-29.0155597,-27.2224184,-25.6357631,-24.1253079,-22.7697902
1.54,-34.0216092,-32.1734988,-30.3587104,-28.6313526,-26.8874453,-25.2754845,-23.7716229,-22.3842578
1.53,-33.7509319,-32.0004136,-30.0772611,-28.3086388,-26.6720722,-24.9651239,-23.4542356,-22.0589682
1.52,-33.554306,-31.6879962,-29.8175212,-28.0425039,-26.3253107,-24.6801989,-23.1509915,-21.7518784
1.51,-33.2906964,-31.421063,-29.5861666,-27.7955553,-26.0764949,-24.4234964,-22.9900425,-21.4597814
1.5,-33.0688136,-31.2085084,-29.3689962,-27.571539,-25.8407264,-24.1771851,-22.678662,-21.1889565
1.49,-32.8733089,-31.0135593,-29.2308312,-27.4290136,-25.6195052,-24.0223212,-22.4199396,-20.9713159
1.48,-32.6934929,-30.8260622,-29.0065043,-27.1933824,-25.4757699,-23.76714,-22.1712324,-20.7337776
1.47,-32.5282188,-30.660431,-28.8071894,-26.9986135,-25.2571942,-23.5448849,-21.9682124,-20.4998666
1.46,-32.411295,-30.4983534,-28.6369431,-26.8836593,-25.0641381,-23.3658875,-21.7715087,-20.2872276
1.45,-32.2481547,-30.4076434,-28.4893136,-26.7087629,-24.8988307,-23.1941869,-21.6634467,-20.1015011
1.44,-32.1020628,-30.2462315,-28.3524379,-26.5558884,-24.7566407,-23.0487515,-21.4573951,-19.927993
1.43,-31.9846477,-30.1115584,-28.2304771,-26.4162665,-24.6191219,-22.9073995,-21.2962044,-19.8171604
1.42,-31.8762358,-29.9935032,-28.154678,-26.2943028,-24.5398451,-22.8163034,-21.1418188,-19.6386532
1.41,-31.7785967,-29.8946172,-28.0217798,-26.1902788,-24.4069168,-22.670377,-21.0145732,-19.4795736
1.4,-31.689426,-29.8009181,-27.920492,-26.0874687,-24.2945223,-22.5452835,-20.8996205,-19.3449088
